Setting Name           Location      Start Address  Start Bit  Num Bits  NVM    Type
OOF_INTR_MSK           0x0018[7:4]   0x0018         4          4         User   R/W 
LOS_INTR_MSK           0x0018[3:0]   0x0018         0          4         User   R/W 
HOLD_INTR_MSK          0x0019[5]     0x0019         5          1         User   R/W 
LOL_INTR_MSK           0x0019[1]     0x0019         1          1         User   R/W 
CAL_INTR_MSK           0x001A[5]     0x001A         5          1         User   R/W 
SOFTCAL                0x001C[5]     0x001C         5          1         None   S/C 
SOFT_RST               0x001C[2]     0x001C         2          1         None   S/C 
SOFT_RST_ALL           0x001C[0]     0x001C         0          1         None   S/C 
FDEC                   0x001D[1]     0x001D         1          1         None   S/C 
FINC                   0x001D[0]     0x001D         0          1         None   S/C 
SYNC                   0x001E[2]     0x001E         2          1         None   S/C 
HARD_RST               0x001E[1]     0x001E         1          1         None   R/W 
PDN                    0x001E[0]     0x001E         0          1         None   R/W 
AUTO_NDIV_UPDATE       0x002B[5]     0x002B         5          1         User   R/W 
SPI_3WIRE              0x002B[3]     0x002B         3          1         User   R/W 
LOSXAXB_DIS            0x002C[4]     0x002C         4          1         User   R/W 
LOS_EN                 0x002C[3:0]   0x002C         0          4         User   R/W 
LOS3_VAL_TIME          0x002D[7:6]   0x002D         6          2         User   R/W 
LOS2_VAL_TIME          0x002D[5:4]   0x002D         4          2         User   R/W 
LOS1_VAL_TIME          0x002D[3:2]   0x002D         2          2         User   R/W 
LOS0_VAL_TIME          0x002D[1:0]   0x002D         0          2         User   R/W 
LOS0_TRG_THR           0x002E[15:0]  0x002E         0          16        User   R/W 
LOS1_TRG_THR           0x0030[15:0]  0x0030         0          16        User   R/W 
LOS2_TRG_THR           0x0032[15:0]  0x0032         0          16        User   R/W 
LOS3_TRG_THR           0x0034[15:0]  0x0034         0          16        User   R/W 
LOS0_CLR_THR           0x0036[15:0]  0x0036         0          16        User   R/W 
LOS1_CLR_THR           0x0038[15:0]  0x0038         0          16        User   R/W 
LOS2_CLR_THR           0x003A[15:0]  0x003A         0          16        User   R/W 
LOS3_CLR_THR           0x003C[15:0]  0x003C         0          16        User   R/W 
FAST_OOF_EN            0x003F[7:4]   0x003F         4          4         User   R/W 
OOF_EN                 0x003F[3:0]   0x003F         0          4         User   R/W 
OOF_REF_SEL            0x0040[2:0]   0x0040         0          3         User   R/W 
OOF0_DIV_SEL           0x0041[4:0]   0x0041         0          5         User   R/W 
OOF1_DIV_SEL           0x0042[4:0]   0x0042         0          5         User   R/W 
OOF2_DIV_SEL           0x0043[4:0]   0x0043         0          5         User   R/W 
OOF3_DIV_SEL           0x0044[4:0]   0x0044         0          5         User   R/W 
OOFXO_DIV_SEL          0x0045[4:0]   0x0045         0          5         User   R/W 
OOF0_SET_THR           0x0046[7:0]   0x0046         0          8         User   R/W 
OOF1_SET_THR           0x0047[7:0]   0x0047         0          8         User   R/W 
OOF2_SET_THR           0x0048[7:0]   0x0048         0          8         User   R/W 
OOF3_SET_THR           0x0049[7:0]   0x0049         0          8         User   R/W 
OOF0_CLR_THR           0x004A[7:0]   0x004A         0          8         User   R/W 
OOF1_CLR_THR           0x004B[7:0]   0x004B         0          8         User   R/W 
OOF2_CLR_THR           0x004C[7:0]   0x004C         0          8         User   R/W 
OOF3_CLR_THR           0x004D[7:0]   0x004D         0          8         User   R/W 
OOF1_DETWIN_SEL        0x004E[6:4]   0x004E         4          3         User   R/W 
OOF0_DETWIN_SEL        0x004E[2:0]   0x004E         0          3         User   R/W 
OOF3_DETWIN_SEL        0x004F[6:4]   0x004F         4          3         User   R/W 
OOF2_DETWIN_SEL        0x004F[2:0]   0x004F         0          3         User   R/W 
OOF_ON_LOS             0x0050[3:0]   0x0050         0          4         User   R/W 
FAST_OOF0_SET_THR      0x0051[3:0]   0x0051         0          4         User   R/W 
FAST_OOF1_SET_THR      0x0052[3:0]   0x0052         0          4         User   R/W 
FAST_OOF2_SET_THR      0x0053[3:0]   0x0053         0          4         User   R/W 
FAST_OOF3_SET_THR      0x0054[3:0]   0x0054         0          4         User   R/W 
FAST_OOF0_CLR_THR      0x0055[3:0]   0x0055         0          4         User   R/W 
FAST_OOF1_CLR_THR      0x0056[3:0]   0x0056         0          4         User   R/W 
FAST_OOF2_CLR_THR      0x0057[3:0]   0x0057         0          4         User   R/W 
FAST_OOF3_CLR_THR      0x0058[3:0]   0x0058         0          4         User   R/W 
FAST_OOF3_DETWIN_SEL   0x0059[7:6]   0x0059         6          2         User   R/W 
FAST_OOF2_DETWIN_SEL   0x0059[5:4]   0x0059         4          2         User   R/W 
FAST_OOF1_DETWIN_SEL   0x0059[3:2]   0x0059         2          2         User   R/W 
FAST_OOF0_DETWIN_SEL   0x0059[1:0]   0x0059         0          2         User   R/W 
OOF0_RATIO_REF         0x005A[25:0]  0x005A         0          26        User   R/W 
OOF1_RATIO_REF         0x005E[25:0]  0x005E         0          26        User   R/W 
OOF2_RATIO_REF         0x0062[25:0]  0x0062         0          26        User   R/W 
OOF3_RATIO_REF         0x0066[25:0]  0x0066         0          26        User   R/W 
LOL_FST_EN             0x0092[1]     0x0092         1          1         User   R/W 
LOL_FST_DETWIN_SEL     0x0093[7:4]   0x0093         4          4         User   R/W 
LOL_FST_VALWIN_SEL     0x0095[3:2]   0x0095         2          2         User   R/W 
LOL_FST_SET_THR_SEL    0x0096[7:4]   0x0096         4          4         User   R/W 
LOL_FST_CLR_THR_SEL    0x0098[7:4]   0x0098         4          4         User   R/W 
LOL_SLOW_EN_PLL        0x009A[1]     0x009A         1          1         User   R/W 
LOL_SLW_DETWIN_SEL     0x009B[7:4]   0x009B         4          4         User   R/W 
LOL_SLW_VALWIN_SEL     0x009D[3:2]   0x009D         2          2         User   R/W 
LOL_SLW_SET_THR        0x009E[7:4]   0x009E         4          4         User   R/W 
LOL_SLW_CLR_THR        0x00A0[7:4]   0x00A0         4          4         User   R/W 
LOL_TIMER_EN           0x00A2[1]     0x00A2         1          1         User   R/W 
LOL_CLR_DELAY_DIV256   0x00A9[28:0]  0x00A9         0          29        User   R/W 
ACTIVE_NVM_BANK        0x00E2[7:0]   0x00E2         0          8         None   R/O 
FASTLOCK_EXTEND_EN     0x00E5[5]     0x00E5         5          1         User   R/W 
FASTLOCK_EXTEND        0x00EA[28:0]  0x00EA         0          29        User   R/W 
REG_0XF9_INTR          0x00F6[2]     0x00F6         2          1         None   R/O 
REG_0XF8_INTR          0x00F6[1]     0x00F6         1          1         None   R/O 
REG_0XF7_INTR          0x00F6[0]     0x00F6         0          1         None   R/O 
SMBUS_TIME_OUT_INTR    0x00F7[5]     0x00F7         5          1         None   R/O 
LOSVCO_INTR            0x00F7[4]     0x00F7         4          1         None   R/O 
LOSREF_INTR            0x00F7[2]     0x00F7         2          1         None   R/O 
LOSXAXB_INTR           0x00F7[1]     0x00F7         1          1         None   R/O 
SYSINCAL_INTR          0x00F7[0]     0x00F7         0          1         None   R/O 
OOF_INTR               0x00F8[7:4]   0x00F8         4          4         None   R/O 
LOS_INTR               0x00F8[3:0]   0x00F8         0          4         None   R/O 
HOLD_INTR              0x00F9[5]     0x00F9         5          1         None   R/O 
LOL_INTR               0x00F9[1]     0x00F9         1          1         None   R/O 
OUTALL_DISABLE_LOW     0x0102[0]     0x0102         0          1         User   R/W 
OUT0_RDIV_FORCE2       0x0108[2]     0x0108         2          1         User   R/W 
OUT0_OE                0x0108[1]     0x0108         1          1         User   R/W 
OUT0_PDN               0x0108[0]     0x0108         0          1         User   R/W 
OUT0_CMOS_DRV          0x0109[7:6]   0x0109         6          2         User   R/W 
OUT0_DIS_STATE         0x0109[5:4]   0x0109         4          2         User   R/W 
OUT0_SYNC_EN           0x0109[3]     0x0109         3          1         User   R/W 
OUT0_FORMAT            0x0109[2:0]   0x0109         0          3         User   R/W 
OUT0_AMPL              0x010A[6:4]   0x010A         4          3         User   R/W 
OUT0_CM                0x010A[3:0]   0x010A         0          4         User   R/W 
OUT0_INV               0x010B[7:6]   0x010B         6          2         User   R/W 
OUT0_VDD_SEL           0x010B[5:4]   0x010B         4          2         User   R/W 
OUT0_VDD_SEL_EN        0x010B[3]     0x010B         3          1         User   R/W 
OUT0_MUX_SEL           0x010B[2:0]   0x010B         0          3         User   R/W 
OUT1_RDIV_FORCE2       0x010D[2]     0x010D         2          1         User   R/W 
OUT1_OE                0x010D[1]     0x010D         1          1         User   R/W 
OUT1_PDN               0x010D[0]     0x010D         0          1         User   R/W 
OUT1_CMOS_DRV          0x010E[7:6]   0x010E         6          2         User   R/W 
OUT1_DIS_STATE         0x010E[5:4]   0x010E         4          2         User   R/W 
OUT1_SYNC_EN           0x010E[3]     0x010E         3          1         User   R/W 
OUT1_FORMAT            0x010E[2:0]   0x010E         0          3         User   R/W 
OUT1_AMPL              0x010F[6:4]   0x010F         4          3         User   R/W 
OUT1_CM                0x010F[3:0]   0x010F         0          4         User   R/W 
OUT1_INV               0x0110[7:6]   0x0110         6          2         User   R/W 
OUT1_VDD_SEL           0x0110[5:4]   0x0110         4          2         User   R/W 
OUT1_VDD_SEL_EN        0x0110[3]     0x0110         3          1         User   R/W 
OUT1_MUX_SEL           0x0110[2:0]   0x0110         0          3         User   R/W 
OUT2_RDIV_FORCE2       0x0112[2]     0x0112         2          1         User   R/W 
OUT2_OE                0x0112[1]     0x0112         1          1         User   R/W 
OUT2_PDN               0x0112[0]     0x0112         0          1         User   R/W 
OUT2_CMOS_DRV          0x0113[7:6]   0x0113         6          2         User   R/W 
OUT2_DIS_STATE         0x0113[5:4]   0x0113         4          2         User   R/W 
OUT2_SYNC_EN           0x0113[3]     0x0113         3          1         User   R/W 
OUT2_FORMAT            0x0113[2:0]   0x0113         0          3         User   R/W 
OUT2_AMPL              0x0114[6:4]   0x0114         4          3         User   R/W 
OUT2_CM                0x0114[3:0]   0x0114         0          4         User   R/W 
OUT2_INV               0x0115[7:6]   0x0115         6          2         User   R/W 
OUT2_VDD_SEL           0x0115[5:4]   0x0115         4          2         User   R/W 
OUT2_VDD_SEL_EN        0x0115[3]     0x0115         3          1         User   R/W 
OUT2_MUX_SEL           0x0115[2:0]   0x0115         0          3         User   R/W 
OUT3_RDIV_FORCE2       0x0117[2]     0x0117         2          1         User   R/W 
OUT3_OE                0x0117[1]     0x0117         1          1         User   R/W 
OUT3_PDN               0x0117[0]     0x0117         0          1         User   R/W 
OUT3_CMOS_DRV          0x0118[7:6]   0x0118         6          2         User   R/W 
OUT3_DIS_STATE         0x0118[5:4]   0x0118         4          2         User   R/W 
OUT3_SYNC_EN           0x0118[3]     0x0118         3          1         User   R/W 
OUT3_FORMAT            0x0118[2:0]   0x0118         0          3         User   R/W 
OUT3_AMPL              0x0119[6:4]   0x0119         4          3         User   R/W 
OUT3_CM                0x0119[3:0]   0x0119         0          4         User   R/W 
OUT3_INV               0x011A[7:6]   0x011A         6          2         User   R/W 
OUT3_VDD_SEL           0x011A[5:4]   0x011A         4          2         User   R/W 
OUT3_VDD_SEL_EN        0x011A[3]     0x011A         3          1         User   R/W 
OUT3_MUX_SEL           0x011A[2:0]   0x011A         0          3         User   R/W 
OUT4_RDIV_FORCE2       0x011C[2]     0x011C         2          1         User   R/W 
OUT4_OE                0x011C[1]     0x011C         1          1         User   R/W 
OUT4_PDN               0x011C[0]     0x011C         0          1         User   R/W 
OUT4_CMOS_DRV          0x011D[7:6]   0x011D         6          2         User   R/W 
OUT4_DIS_STATE         0x011D[5:4]   0x011D         4          2         User   R/W 
OUT4_SYNC_EN           0x011D[3]     0x011D         3          1         User   R/W 
OUT4_FORMAT            0x011D[2:0]   0x011D         0          3         User   R/W 
OUT4_AMPL              0x011E[6:4]   0x011E         4          3         User   R/W 
OUT4_CM                0x011E[3:0]   0x011E         0          4         User   R/W 
OUT4_INV               0x011F[7:6]   0x011F         6          2         User   R/W 
OUT4_VDD_SEL           0x011F[5:4]   0x011F         4          2         User   R/W 
OUT4_VDD_SEL_EN        0x011F[3]     0x011F         3          1         User   R/W 
OUT4_MUX_SEL           0x011F[2:0]   0x011F         0          3         User   R/W 
OUT5_RDIV_FORCE2       0x0121[2]     0x0121         2          1         User   R/W 
OUT5_OE                0x0121[1]     0x0121         1          1         User   R/W 
OUT5_PDN               0x0121[0]     0x0121         0          1         User   R/W 
OUT5_CMOS_DRV          0x0122[7:6]   0x0122         6          2         User   R/W 
OUT5_DIS_STATE         0x0122[5:4]   0x0122         4          2         User   R/W 
OUT5_SYNC_EN           0x0122[3]     0x0122         3          1         User   R/W 
OUT5_FORMAT            0x0122[2:0]   0x0122         0          3         User   R/W 
OUT5_AMPL              0x0123[6:4]   0x0123         4          3         User   R/W 
OUT5_CM                0x0123[3:0]   0x0123         0          4         User   R/W 
OUT5_INV               0x0124[7:6]   0x0124         6          2         User   R/W 
OUT5_VDD_SEL           0x0124[5:4]   0x0124         4          2         User   R/W 
OUT5_VDD_SEL_EN        0x0124[3]     0x0124         3          1         User   R/W 
OUT5_MUX_SEL           0x0124[2:0]   0x0124         0          3         User   R/W 
OUT6_RDIV_FORCE2       0x0126[2]     0x0126         2          1         User   R/W 
OUT6_OE                0x0126[1]     0x0126         1          1         User   R/W 
OUT6_PDN               0x0126[0]     0x0126         0          1         User   R/W 
OUT6_CMOS_DRV          0x0127[7:6]   0x0127         6          2         User   R/W 
OUT6_DIS_STATE         0x0127[5:4]   0x0127         4          2         User   R/W 
OUT6_SYNC_EN           0x0127[3]     0x0127         3          1         User   R/W 
OUT6_FORMAT            0x0127[2:0]   0x0127         0          3         User   R/W 
OUT6_AMPL              0x0128[6:4]   0x0128         4          3         User   R/W 
OUT6_CM                0x0128[3:0]   0x0128         0          4         User   R/W 
OUT6_INV               0x0129[7:6]   0x0129         6          2         User   R/W 
OUT6_VDD_SEL           0x0129[5:4]   0x0129         4          2         User   R/W 
OUT6_VDD_SEL_EN        0x0129[3]     0x0129         3          1         User   R/W 
OUT6_MUX_SEL           0x0129[2:0]   0x0129         0          3         User   R/W 
OUT7_RDIV_FORCE2       0x012B[2]     0x012B         2          1         User   R/W 
OUT7_OE                0x012B[1]     0x012B         1          1         User   R/W 
OUT7_PDN               0x012B[0]     0x012B         0          1         User   R/W 
OUT7_CMOS_DRV          0x012C[7:6]   0x012C         6          2         User   R/W 
OUT7_DIS_STATE         0x012C[5:4]   0x012C         4          2         User   R/W 
OUT7_SYNC_EN           0x012C[3]     0x012C         3          1         User   R/W 
OUT7_FORMAT            0x012C[2:0]   0x012C         0          3         User   R/W 
OUT7_AMPL              0x012D[6:4]   0x012D         4          3         User   R/W 
OUT7_CM                0x012D[3:0]   0x012D         0          4         User   R/W 
OUT7_INV               0x012E[7:6]   0x012E         6          2         User   R/W 
OUT7_VDD_SEL           0x012E[5:4]   0x012E         4          2         User   R/W 
OUT7_VDD_SEL_EN        0x012E[3]     0x012E         3          1         User   R/W 
OUT7_MUX_SEL           0x012E[2:0]   0x012E         0          3         User   R/W 
OUT8_RDIV_FORCE2       0x0130[2]     0x0130         2          1         User   R/W 
OUT8_OE                0x0130[1]     0x0130         1          1         User   R/W 
OUT8_PDN               0x0130[0]     0x0130         0          1         User   R/W 
OUT8_CMOS_DRV          0x0131[7:6]   0x0131         6          2         User   R/W 
OUT8_DIS_STATE         0x0131[5:4]   0x0131         4          2         User   R/W 
OUT8_SYNC_EN           0x0131[3]     0x0131         3          1         User   R/W 
OUT8_FORMAT            0x0131[2:0]   0x0131         0          3         User   R/W 
OUT8_AMPL              0x0132[6:4]   0x0132         4          3         User   R/W 
OUT8_CM                0x0132[3:0]   0x0132         0          4         User   R/W 
OUT8_INV               0x0133[7:6]   0x0133         6          2         User   R/W 
OUT8_VDD_SEL           0x0133[5:4]   0x0133         4          2         User   R/W 
OUT8_VDD_SEL_EN        0x0133[3]     0x0133         3          1         User   R/W 
OUT8_MUX_SEL           0x0133[2:0]   0x0133         0          3         User   R/W 
OUT9_RDIV_FORCE2       0x013A[2]     0x013A         2          1         User   R/W 
OUT9_OE                0x013A[1]     0x013A         1          1         User   R/W 
OUT9_PDN               0x013A[0]     0x013A         0          1         User   R/W 
OUT9_CMOS_DRV          0x013B[7:6]   0x013B         6          2         User   R/W 
OUT9_DIS_STATE         0x013B[5:4]   0x013B         4          2         User   R/W 
OUT9_SYNC_EN           0x013B[3]     0x013B         3          1         User   R/W 
OUT9_FORMAT            0x013B[2:0]   0x013B         0          3         User   R/W 
OUT9_AMPL              0x013C[6:4]   0x013C         4          3         User   R/W 
OUT9_CM                0x013C[3:0]   0x013C         0          4         User   R/W 
OUT9_INV               0x013D[7:6]   0x013D         6          2         User   R/W 
OUT9_VDD_SEL           0x013D[5:4]   0x013D         4          2         User   R/W 
OUT9_VDD_SEL_EN        0x013D[3]     0x013D         3          1         User   R/W 
OUT9_MUX_SEL           0x013D[2:0]   0x013D         0          3         User   R/W 
OUTX_ALWAYS_ON         0x013F[11:0]  0x013F         0          12        User   R/W 
OUT_DIS_MSK_LOS_PFD    0x0141[7]     0x0141         7          1         User   R/W 
OUT_DIS_LOSXAXB_MSK    0x0141[6]     0x0141         6          1         User   R/W 
OUT_DIS_LOL_MSK        0x0141[5]     0x0141         5          1         User   R/W 
OUT_DIS_MSK            0x0141[1]     0x0141         1          1         User   R/W 
OUT_DIS_MSK_HOLD       0x0142[5]     0x0142         5          1         User   R/W 
OUT_DIS_MSK_LOL        0x0142[1]     0x0142         1          1         User   R/W 
OUT_PDN_ALL            0x0145[0]     0x0145         0          1         None   R/W 
OUT_RST                0x0146[11:0]  0x0146         0          12        None   R/W 
OUT_RDIV_RST           0x0148[11:0]  0x0148         0          12        None   R/W 
PXAXB                  0x0206[1:0]   0x0206         0          2         User   R/W 
P0_NUM                 0x0208[47:0]  0x0208         0          48        User   R/W 
P0_DEN                 0x020E[31:0]  0x020E         0          32        User   R/W 
P1_NUM                 0x0212[47:0]  0x0212         0          48        User   R/W 
P1_DEN                 0x0218[31:0]  0x0218         0          32        User   R/W 
P2_NUM                 0x021C[47:0]  0x021C         0          48        User   R/W 
P2_DEN                 0x0222[31:0]  0x0222         0          32        User   R/W 
P3_NUM                 0x0226[47:0]  0x0226         0          48        User   R/W 
P3_DEN                 0x022C[31:0]  0x022C         0          32        User   R/W 
P3_UPDATE              0x0230[3]     0x0230         3          1         None   S/C 
P2_UPDATE              0x0230[2]     0x0230         2          1         None   S/C 
P1_UPDATE              0x0230[1]     0x0230         1          1         None   S/C 
P0_UPDATE              0x0230[0]     0x0230         0          1         None   S/C 
P0_FRACN_EN            0x0231[4]     0x0231         4          1         User   R/W 
P0_FRACN_MODE          0x0231[3:0]   0x0231         0          4         User   R/W 
P1_FRACN_EN            0x0232[4]     0x0232         4          1         User   R/W 
P1_FRACN_MODE          0x0232[3:0]   0x0232         0          4         User   R/W 
P2_FRACN_EN            0x0233[4]     0x0233         4          1         User   R/W 
P2_FRACN_MODE          0x0233[3:0]   0x0233         0          4         User   R/W 
P3_FRACN_EN            0x0234[4]     0x0234         4          1         User   R/W 
P3_FRACN_MODE          0x0234[3:0]   0x0234         0          4         User   R/W 
MXAXB_NUM              0x0235[43:0]  0x0235         0          44        User   R/W 
MXAXB_DEN              0x023B[31:0]  0x023B         0          32        User   R/W 
MXAXB_UPDATE           0x023F[0]     0x023F         0          1         None   S/C 
R0_REG                 0x024A[23:0]  0x024A         0          24        User   R/W 
R1_REG                 0x024D[23:0]  0x024D         0          24        User   R/W 
R2_REG                 0x0250[23:0]  0x0250         0          24        User   R/W 
R3_REG                 0x0253[23:0]  0x0253         0          24        User   R/W 
R4_REG                 0x0256[23:0]  0x0256         0          24        User   R/W 
R5_REG                 0x0259[23:0]  0x0259         0          24        User   R/W 
R6_REG                 0x025C[23:0]  0x025C         0          24        User   R/W 
R7_REG                 0x025F[23:0]  0x025F         0          24        User   R/W 
R8_REG                 0x0262[23:0]  0x0262         0          24        User   R/W 
R9_REG                 0x0268[23:0]  0x0268         0          24        User   R/W 
DESIGN_ID0             0x026B[7:0]   0x026B         0          8         User   R/W 
DESIGN_ID1             0x026C[7:0]   0x026C         0          8         User   R/W 
DESIGN_ID2             0x026D[7:0]   0x026D         0          8         User   R/W 
DESIGN_ID3             0x026E[7:0]   0x026E         0          8         User   R/W 
DESIGN_ID4             0x026F[7:0]   0x026F         0          8         User   R/W 
DESIGN_ID5             0x0270[7:0]   0x0270         0          8         User   R/W 
DESIGN_ID6             0x0271[7:0]   0x0271         0          8         User   R/W 
DESIGN_ID7             0x0272[7:0]   0x0272         0          8         User   R/W 
OPN_ID0                0x0278[7:0]   0x0278         0          8         SiLab  R/W 
OPN_ID1                0x0279[7:0]   0x0279         0          8         SiLab  R/W 
OPN_ID2                0x027A[7:0]   0x027A         0          8         SiLab  R/W 
OPN_ID3                0x027B[7:0]   0x027B         0          8         SiLab  R/W 
OPN_ID4                0x027C[7:0]   0x027C         0          8         SiLab  R/W 
OPN_REVISION           0x027D[7:0]   0x027D         0          8         SiLab  R/W 
BASELINE_ID            0x027E[7:0]   0x027E         0          8         SiLab  R/W 
OOF0_TRG_THR_EXT       0x028A[4:0]   0x028A         0          5         User   R/W 
OOF1_TRG_THR_EXT       0x028B[4:0]   0x028B         0          5         User   R/W 
OOF2_TRG_THR_EXT       0x028C[4:0]   0x028C         0          5         User   R/W 
OOF3_TRG_THR_EXT       0x028D[4:0]   0x028D         0          5         User   R/W 
OOF0_CLR_THR_EXT       0x028E[4:0]   0x028E         0          5         User   R/W 
OOF1_CLR_THR_EXT       0x028F[4:0]   0x028F         0          5         User   R/W 
OOF2_CLR_THR_EXT       0x0290[4:0]   0x0290         0          5         User   R/W 
OOF3_CLR_THR_EXT       0x0291[4:0]   0x0291         0          5         User   R/W 
FASTLOCK_EXTEND_SCL    0x0294[7:4]   0x0294         4          4         User   R/W 
LOL_SLW_VALWIN_SELX    0x0296[1]     0x0296         1          1         User   R/W 
FASTLOCK_DLY_ONSW_EN   0x0297[1]     0x0297         1          1         User   R/W 
FASTLOCK_DLY_ONLOL_EN  0x0299[1]     0x0299         1          1         User   R/W 
FASTLOCK_DLY_ONLOL     0x029D[19:0]  0x029D         0          20        User   R/W 
FASTLOCK_DLY_ONSW      0x02A9[19:0]  0x02A9         0          20        User   R/W 
LOL_NOSIG_TIME         0x02B7[3:2]   0x02B7         2          2         User   R/W 
LOL_LOS_REFCLK         0x02B8[1]     0x02B8         1          1         None   R/O 
N0_NUM                 0x0302[43:0]  0x0302         0          44        User   R/W 
N0_DEN                 0x0308[31:0]  0x0308         0          32        User   R/W 
N0_UPDATE              0x030C[0]     0x030C         0          1         User   S/C 
N1_NUM                 0x030D[43:0]  0x030D         0          44        User   R/W 
N1_DEN                 0x0313[31:0]  0x0313         0          32        User   R/W 
N1_UPDATE              0x0317[0]     0x0317         0          1         User   S/C 
N2_NUM                 0x0318[43:0]  0x0318         0          44        User   R/W 
N2_DEN                 0x031E[31:0]  0x031E         0          32        User   R/W 
N2_UPDATE              0x0322[0]     0x0322         0          1         User   S/C 
N3_NUM                 0x0323[43:0]  0x0323         0          44        User   R/W 
N3_DEN                 0x0329[31:0]  0x0329         0          32        User   R/W 
N3_UPDATE              0x032D[0]     0x032D         0          1         User   S/C 
N4_NUM                 0x032E[43:0]  0x032E         0          44        User   R/W 
N4_DEN                 0x0334[31:0]  0x0334         0          32        User   R/W 
N_UPDATE               0x0338[1]     0x0338         1          1         User   S/C 
N4_UPDATE              0x0338[0]     0x0338         0          1         User   S/C 
N_FSTEP_MSK            0x0339[4:0]   0x0339         0          5         User   R/W 
N0_FSTEPW              0x033B[43:0]  0x033B         0          44        User   R/W 
N1_FSTEPW              0x0341[43:0]  0x0341         0          44        User   R/W 
N2_FSTEPW              0x0347[43:0]  0x0347         0          44        User   R/W 
N3_FSTEPW              0x034D[43:0]  0x034D         0          44        User   R/W 
N4_FSTEPW              0x0353[43:0]  0x0353         0          44        User   R/W 
N0_DELAY               0x0359[15:0]  0x0359         0          16        User   R/W 
N1_DELAY               0x035B[15:0]  0x035B         0          16        User   R/W 
N2_DELAY               0x035D[15:0]  0x035D         0          16        User   R/W 
N3_DELAY               0x035F[15:0]  0x035F         0          16        User   R/W 
N4_DELAY               0x0361[15:0]  0x0361         0          16        User   R/W 
ZDM_AUTOSW_EN          0x0487[4]     0x0487         4          1         User   R/W 
ZDM_IN_SEL             0x0487[2:1]   0x0487         1          2         User   R/W 
ZDM_EN                 0x0487[0]     0x0487         0          1         User   R/W 
BW0_PLL                0x0508[5:0]   0x0508         0          6         User   R/W 
BW1_PLL                0x0509[5:0]   0x0509         0          6         User   R/W 
BW2_PLL                0x050A[5:0]   0x050A         0          6         User   R/W 
BW3_PLL                0x050B[5:0]   0x050B         0          6         User   R/W 
BW4_PLL                0x050C[5:0]   0x050C         0          6         User   R/W 
BW5_PLL                0x050D[5:0]   0x050D         0          6         User   R/W 
FASTLOCK_BW0_PLL       0x050E[5:0]   0x050E         0          6         User   R/W 
FASTLOCK_BW1_PLL       0x050F[5:0]   0x050F         0          6         User   R/W 
FASTLOCK_BW2_PLL       0x0510[5:0]   0x0510         0          6         User   R/W 
FASTLOCK_BW3_PLL       0x0511[5:0]   0x0511         0          6         User   R/W 
FASTLOCK_BW4_PLL       0x0512[5:0]   0x0512         0          6         User   R/W 
FASTLOCK_BW5_PLL       0x0513[5:0]   0x0513         0          6         User   R/W 
BW_UPDATE_PLL          0x0514[0]     0x0514         0          1         None   S/C 
M_NUM                  0x0515[55:0]  0x0515         0          56        User   R/W 
M_DEN                  0x051C[31:0]  0x051C         0          32        User   R/W 
M_UPDATE               0x0520[0]     0x0520         0          1         None   S/C 
PLL_OUT_RATE_SEL       0x0521[5]     0x0521         5          1         User   R/W 
