+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                             ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|dc_sub                                                                                                        ; 22    ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|db_sub|subtract                                                                                               ; 23    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|db_sub                                                                                                        ; 22    ; 2              ; 0            ; 2              ; 11     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|da_sub|subtract                                                                                               ; 23    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|da_sub                                                                                                        ; 22    ; 2              ; 0            ; 2              ; 11     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|bc_sub|subtract                                                                                               ; 23    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|bc_sub                                                                                                        ; 22    ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|ac_sub|subtract                                                                                               ; 23    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|ac_sub                                                                                                        ; 22    ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|ab_sub|subtract                                                                                               ; 23    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|ab_sub                                                                                                        ; 22    ; 2              ; 0            ; 2              ; 11     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min                                                                                                               ; 34    ; 0              ; 2            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_burstwrap_increment                                                                                               ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|align_address_to_size                                                                                                 ; 72    ; 5              ; 0            ; 5              ; 68     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter                                                                                                                       ; 256   ; 0              ; 1            ; 0              ; 254    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter                                                                                                                                                                      ; 256   ; 0              ; 0            ; 0              ; 254    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|router_001|the_default_decode                                                                                                                                                                          ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|router_001                                                                                                                                                                                             ; 255   ; 0              ; 2            ; 0              ; 254    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|router|the_default_decode                                                                                                                                                                              ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|router                                                                                                                                                                                                 ; 255   ; 2              ; 3            ; 2              ; 254    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_agent_rsp_fifo                                                                                                                                                                     ; 295   ; 39             ; 0            ; 39             ; 254    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_agent|uncompressor                                                                                                                                                                 ; 85    ; 1              ; 0            ; 1              ; 83     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_agent                                                                                                                                                                              ; 776   ; 137            ; 134          ; 137            ; 856    ; 137             ; 137           ; 137             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|pcie_256_hip_avmm_0_dma_wr_master_agent                                                                                                                                                                ; 478   ; 30             ; 128          ; 30             ; 383    ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_translator                                                                                                                                                                         ; 353   ; 7              ; 49           ; 7              ; 292    ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|pcie_256_hip_avmm_0_dma_wr_master_translator                                                                                                                                                           ; 357   ; 139            ; 0            ; 139            ; 352    ; 139             ; 139           ; 139             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1                                                                                                                                                                                                        ; 217   ; 0              ; 0            ; 0              ; 292    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_005|error_adapter_0                                                                                                                                                                  ; 262   ; 1              ; 2            ; 1              ; 261    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_005                                                                                                                                                                                  ; 262   ; 0              ; 0            ; 0              ; 261    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_004|error_adapter_0                                                                                                                                                                  ; 262   ; 1              ; 2            ; 1              ; 261    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_004                                                                                                                                                                                  ; 262   ; 0              ; 0            ; 0              ; 261    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_003|error_adapter_0                                                                                                                                                                  ; 134   ; 1              ; 2            ; 1              ; 133    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_003                                                                                                                                                                                  ; 134   ; 0              ; 0            ; 0              ; 133    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_002|error_adapter_0                                                                                                                                                                  ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_002                                                                                                                                                                                  ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                                                                                                                                                  ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter_001                                                                                                                                                                                  ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                                                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|avalon_st_adapter                                                                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser_001|clock_xer|out_to_in_synchronizer                                                                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser_001|clock_xer|in_to_out_synchronizer                                                                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser_001|clock_xer                                                                                                                                                                                  ; 159   ; 0              ; 0            ; 0              ; 155    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser_001                                                                                                                                                                                            ; 161   ; 2              ; 0            ; 2              ; 155    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser|clock_xer|out_to_in_synchronizer                                                                                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser|clock_xer|in_to_out_synchronizer                                                                                                                                                               ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser|clock_xer                                                                                                                                                                                      ; 159   ; 0              ; 0            ; 0              ; 155    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|crosser                                                                                                                                                                                                ; 161   ; 2              ; 0            ; 2              ; 155    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_wr_dts_slave_to_pcie_256_hip_avmm_0_dma_rd_master_rsp_width_adapter                                                                                                                ; 412   ; 3              ; 0            ; 3              ; 263    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_rd_dts_slave_to_pcie_256_hip_avmm_0_dma_rd_master_rsp_width_adapter                                                                                                                ; 412   ; 3              ; 0            ; 3              ; 263    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|onchip_memory2_0_s1_to_pcie_256_hip_avmm_0_rxm_bar4_rsp_width_adapter                                                                                                                                  ; 268   ; 3              ; 2            ; 3              ; 155    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_dma_rd_master_to_pcie_256_hip_avmm_0_wr_dts_slave_cmd_width_adapter|uncompressor                                                                                                   ; 85    ; 4              ; 0            ; 4              ; 78     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_dma_rd_master_to_pcie_256_hip_avmm_0_wr_dts_slave_cmd_width_adapter                                                                                                                ; 268   ; 16             ; 0            ; 16             ; 407    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_dma_rd_master_to_pcie_256_hip_avmm_0_rd_dts_slave_cmd_width_adapter|uncompressor                                                                                                   ; 85    ; 4              ; 0            ; 4              ; 78     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_dma_rd_master_to_pcie_256_hip_avmm_0_rd_dts_slave_cmd_width_adapter                                                                                                                ; 268   ; 16             ; 0            ; 16             ; 407    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_rxm_bar4_to_onchip_memory2_0_s1_cmd_width_adapter|uncompressor                                                                                                                     ; 85    ; 4              ; 0            ; 4              ; 78     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|pcie_256_hip_avmm_0_rxm_bar4_to_onchip_memory2_0_s1_cmd_width_adapter                                                                                                                                  ; 160   ; 14             ; 0            ; 14             ; 263    ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_mux_001|arb|adder                                                                                                                                                                                  ; 12    ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_mux_001|arb                                                                                                                                                                                        ; 7     ; 0              ; 4            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_mux_001                                                                                                                                                                                            ; 789   ; 0              ; 0            ; 0              ; 265    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_mux|arb|adder                                                                                                                                                                                      ; 16    ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_mux|arb                                                                                                                                                                                            ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_mux                                                                                                                                                                                                ; 619   ; 0              ; 0            ; 0              ; 158    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_0|rsp_demux_005                                                                                                                                                                                          ; 409   ; 1              ; 2            ; 1              ; 407    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
