Location,Setting,Varies,P1,P2,P3
0x0119[6:4],OUT2_AMPL,No,0x3,0x3,0x3
0x011A[2:0],OUT2_MUX_SEL,Yes,0x1,0x0,0x1
0x011A[3],OUT2_VDD_SEL_EN,No,0x1,0x1,0x1
0x011A[5:4],OUT2_VDD_SEL,No,0x2,0x2,0x2
0x011A[7:6],OUT2_INV,No,0x0,0x0,0x0
0x011B[2:0],OUT2_DIS_SRC,Yes,0x2,0x1,0x2
0x011C[0],OUT3_PDN,No,0x0,0x0,0x0
0x011C[1],OUT3_OE,No,0x1,0x1,0x1
0x011C[2],OUT3_RDIV_FORCE2,Yes,0x1,0x0,0x1
0x011D[2:0],OUT3_FORMAT,No,0x1,0x1,0x1
0x011D[3],OUT3_SYNC_EN,No,0x1,0x1,0x1
0x011D[5:4],OUT3_DIS_STATE,No,0x0,0x0,0x0
0x011D[7:6],OUT3_CMOS_DRV,No,0x0,0x0,0x0
0x011E[3:0],OUT3_CM,No,0xB,0xB,0xB
0x011E[6:4],OUT3_AMPL,No,0x3,0x3,0x3
0x011F[2:0],OUT3_MUX_SEL,Yes,0x1,0x0,0x1
0x011F[3],OUT3_VDD_SEL_EN,No,0x1,0x1,0x1
0x011F[5:4],OUT3_VDD_SEL,No,0x2,0x2,0x2
0x011F[7:6],OUT3_INV,No,0x0,0x0,0x0
0x0120[2:0],OUT3_DIS_SRC,Yes,0x2,0x1,0x2
0x0126[0],OUT4_PDN,No,0x0,0x0,0x0
0x0126[1],OUT4_OE,No,0x1,0x1,0x1
0x0126[2],OUT4_RDIV_FORCE2,Yes,0x0,0x1,0x0
0x0127[2:0],OUT4_FORMAT,No,0x1,0x1,0x1
0x0127[3],OUT4_SYNC_EN,No,0x1,0x1,0x1
0x0127[5:4],OUT4_DIS_STATE,No,0x0,0x0,0x0
0x0127[7:6],OUT4_CMOS_DRV,No,0x0,0x0,0x0
0x0128[3:0],OUT4_CM,No,0xB,0xB,0xB
0x0128[6:4],OUT4_AMPL,No,0x3,0x3,0x3
0x0129[2:0],OUT4_MUX_SEL,Yes,0x2,0x1,0x2
0x0129[3],OUT4_VDD_SEL_EN,No,0x1,0x1,0x1
0x0129[5:4],OUT4_VDD_SEL,No,0x2,0x2,0x2
0x0129[7:6],OUT4_INV,No,0x0,0x0,0x0
0x012A[2:0],OUT4_DIS_SRC,Yes,0x3,0x2,0x3
0x012B[0],OUT5_PDN,No,0x0,0x0,0x0
0x012B[1],OUT5_OE,No,0x1,0x1,0x1
0x012B[2],OUT5_RDIV_FORCE2,No,0x1,0x1,0x1
0x012C[2:0],OUT5_FORMAT,No,0x1,0x1,0x1
0x012C[3],OUT5_SYNC_EN,No,0x1,0x1,0x1
0x012C[5:4],OUT5_DIS_STATE,No,0x0,0x0,0x0
0x012C[7:6],OUT5_CMOS_DRV,No,0x0,0x0,0x0
0x012D[3:0],OUT5_CM,No,0xB,0xB,0xB
0x012D[6:4],OUT5_AMPL,No,0x3,0x3,0x3
0x012E[2:0],OUT5_MUX_SEL,Yes,0x2,0x1,0x2
0x012E[3],OUT5_VDD_SEL_EN,No,0x1,0x1,0x1
0x012E[5:4],OUT5_VDD_SEL,No,0x2,0x2,0x2
0x012E[7:6],OUT5_INV,No,0x0,0x0,0x0
0x012F[2:0],OUT5_DIS_SRC,Yes,0x3,0x2,0x3
0x0130[0],OUT6_PDN,No,0x0,0x0,0x0
0x0130[1],OUT6_OE,No,0x1,0x1,0x1
0x0130[2],OUT6_RDIV_FORCE2,No,0x0,0x0,0x0
0x0131[2:0],OUT6_FORMAT,No,0x1,0x1,0x1
0x0131[3],OUT6_SYNC_EN,No,0x1,0x1,0x1
0x0131[5:4],OUT6_DIS_STATE,No,0x0,0x0,0x0
0x0131[7:6],OUT6_CMOS_DRV,No,0x0,0x0,0x0
0x0132[3:0],OUT6_CM,No,0xB,0xB,0xB
0x0132[6:4],OUT6_AMPL,No,0x3,0x3,0x3
0x0133[2:0],OUT6_MUX_SEL,Yes,0x3,0x2,0x3
0x0133[3],OUT6_VDD_SEL_EN,No,0x1,0x1,0x1
0x0133[5:4],OUT6_VDD_SEL,No,0x2,0x2,0x2
0x0133[7:6],OUT6_INV,No,0x0,0x0,0x0
0x0134[2:0],OUT6_DIS_SRC,Yes,0x4,0x3,0x4
0x013A[0],OUT7_PDN,No,0x0,0x0,0x0
0x013A[1],OUT7_OE,No,0x1,0x1,0x1
0x013A[2],OUT7_RDIV_FORCE2,No,0x0,0x0,0x0
0x013B[2:0],OUT7_FORMAT,No,0x1,0x1,0x1
0x013B[3],OUT7_SYNC_EN,No,0x1,0x1,0x1
0x013B[5:4],OUT7_DIS_STATE,No,0x0,0x0,0x0
0x013B[7:6],OUT7_CMOS_DRV,No,0x0,0x0,0x0
0x013C[3:0],OUT7_CM,No,0xB,0xB,0xB
0x013C[6:4],OUT7_AMPL,No,0x3,0x3,0x3
0x013D[2:0],OUT7_MUX_SEL,Yes,0x3,0x2,0x3
0x013D[3],OUT7_VDD_SEL_EN,No,0x1,0x1,0x1
0x013D[5:4],OUT7_VDD_SEL,No,0x2,0x2,0x2
0x013D[7:6],OUT7_INV,No,0x0,0x0,0x0
0x013E[2:0],OUT7_DIS_SRC,Yes,0x4,0x3,0x4
0x013F[11:0],OUTX_ALWAYS_ON,No,0x0,0x0,0x0
0x0141[0],OUT_DIS_MSK_PLLA,No,0x0,0x0,0x0
0x0141[1],OUT_DIS_MSK_PLLB,No,0x0,0x0,0x0
0x0141[2],OUT_DIS_MSK_PLLC,No,0x0,0x0,0x0
0x0141[3],OUT_DIS_MSK_PLLD,No,0x0,0x0,0x0
0x0141[5],OUT_DIS_LOL_MSK,No,0x0,0x0,0x0
0x0141[6],OUT_DIS_LOSXAXB_MSK,No,0x1,0x1,0x1
0x0141[7],OUT_DIS_MSK_LOS_PFD,No,0x0,0x0,0x0
0x0142[0],OUT_DIS_MSK_LOL_PLLA,No,0x1,0x1,0x1
0x0142[1],OUT_DIS_MSK_LOL_PLLB,No,0x1,0x1,0x1
0x0142[2],OUT_DIS_MSK_LOL_PLLC,No,0x1,0x1,0x1
0x0142[3],OUT_DIS_MSK_LOL_PLLD,No,0x1,0x1,0x1
0x0142[4],OUT_DIS_MSK_HOLD_PLLA,No,0x1,0x1,0x1
0x0142[5],OUT_DIS_MSK_HOLD_PLLB,No,0x1,0x1,0x1
0x0142[6],OUT_DIS_MSK_HOLD_PLLC,No,0x1,0x1,0x1
0x0142[7],OUT_DIS_MSK_HOLD_PLLD,No,0x1,0x1,0x1
0x0206[1:0],PXAXB,No,0x0,0x0,0x0
0x0208[47:0],P0_NUM,Yes,0x271,0xA,0x271
0x020E[31:0],P0_DEN,No,0x1,0x1,0x1
0x0212[47:0],P1_NUM,Yes,0x271,0xA,0x271
0x0218[31:0],P1_DEN,No,0x1,0x1,0x1
0x021C[47:0],P2_NUM,Yes,0x1E6,0x19,0x1E6
0x0222[31:0],P2_DEN,No,0x1,0x1,0x1
0x0226[47:0],P3_NUM,Yes,0x1E6,0x19,0x1E6
0x022C[31:0],P3_DEN,No,0x1,0x1,0x1
0x0231[3:0],P0_FRACN_MODE,No,0xB,0xB,0xB
0x0231[4],P0_FRACN_EN,No,0x0,0x0,0x0
0x0232[3:0],P1_FRACN_MODE,No,0xB,0xB,0xB
0x0232[4],P1_FRACN_EN,No,0x0,0x0,0x0
0x0233[3:0],P2_FRACN_MODE,No,0xB,0xB,0xB
0x0233[4],P2_FRACN_EN,No,0x0,0x0,0x0
0x0234[3:0],P3_FRACN_MODE,No,0xB,0xB,0xB
0x0234[4],P3_FRACN_EN,No,0x0,0x0,0x0
0x0235[43:0],MXAXB_NUM,Yes,0x8CA0000000,0x9380000000,0x9380000000
0x023B[31:0],MXAXB_DEN,No,0x80000000,0x80000000,0x80000000
0x024A[23:0],R0_REG,Yes,0x3,0x2,0x2
0x0250[23:0],R1_REG,Yes,0x0,0x5,0x5
0x0253[23:0],R2_REG,Yes,0x3,0x13,0x3
0x0256[23:0],R3_REG,Yes,0x0,0x13,0x0
0x025C[23:0],R4_REG,Yes,0x3,0x0,0x3
0x025F[23:0],R5_REG,No,0x0,0x0,0x0
0x0262[23:0],R6_REG,Yes,0x3,0x2,0x3
0x0268[23:0],R7_REG,Yes,0x15,0x2,0x15
0x026B[7:0],DESIGN_ID0,No,0x0,0x0,0x0
0x026C[7:0],DESIGN_ID1,No,0x0,0x0,0x0
0x026D[7:0],DESIGN_ID2,No,0x0,0x0,0x0
0x026E[7:0],DESIGN_ID3,No,0x0,0x0,0x0
0x026F[7:0],DESIGN_ID4,No,0x0,0x0,0x0
0x0270[7:0],DESIGN_ID5,No,0x0,0x0,0x0
0x0271[7:0],DESIGN_ID6,No,0x0,0x0,0x0
0x0272[7:0],DESIGN_ID7,No,0x0,0x0,0x0
0x028A[4:0],OOF0_TRG_THR_EXT,No,0x0,0x0,0x0
0x028B[4:0],OOF1_TRG_THR_EXT,No,0x0,0x0,0x0
0x028C[4:0],OOF2_TRG_THR_EXT,No,0x0,0x0,0x0
0x028D[4:0],OOF3_TRG_THR_EXT,No,0x0,0x0,0x0
0x028E[4:0],OOF0_CLR_THR_EXT,No,0x0,0x0,0x0
0x028F[4:0],OOF1_CLR_THR_EXT,No,0x0,0x0,0x0
0x0290[4:0],OOF2_CLR_THR_EXT,No,0x0,0x0,0x0
0x0291[4:0],OOF3_CLR_THR_EXT,No,0x0,0x0,0x0
0x0294[3:0],FASTLOCK_EXTEND_SCL_PLLA,Yes,0xC,0xC,0xD
0x0294[7:4],FASTLOCK_EXTEND_SCL_PLLB,Yes,0xC,0xD,0xC
0x0295[3:0],FASTLOCK_EXTEND_SCL_PLLC,No,0xC,0xC,0xC
0x0295[7:4],FASTLOCK_EXTEND_SCL_PLLD,No,0xC,0xC,0xC
0x0296[0],LOL_SLW_VALWIN_SELX_PLLA,No,0x1,0x1,0x1
0x0296[1],LOL_SLW_VALWIN_SELX_PLLB,No,0x1,0x1,0x1
0x0296[2],LOL_SLW_VALWIN_SELX_PLLC,No,0x1,0x1,0x1
0x0296[3],LOL_SLW_VALWIN_SELX_PLLD,No,0x1,0x1,0x1
0x0297[0],FASTLOCK_DLY_ONSW_EN_PLLA,No,0x1,0x1,0x1
0x0297[1],FASTLOCK_DLY_ONSW_EN_PLLB,No,0x1,0x1,0x1
0x0297[2],FASTLOCK_DLY_ONSW_EN_PLLC,No,0x1,0x1,0x1
0x0297[3],FASTLOCK_DLY_ONSW_EN_PLLD,No,0x1,0x1,0x1
0x0299[0],FASTLOCK_DLY_ONLOL_EN_PLLA,No,0x1,0x1,0x1
0x0299[1],FASTLOCK_DLY_ONLOL_EN_PLLB,No,0x1,0x1,0x1
0x0299[2],FASTLOCK_DLY_ONLOL_EN_PLLC,No,0x1,0x1,0x1
0x0299[3],FASTLOCK_DLY_ONLOL_EN_PLLD,No,0x1,0x1,0x1
0x029A[19:0],FASTLOCK_DLY_ONLOL_PLLA,Yes,0x1FA,0x119,0x119
0x029D[19:0],FASTLOCK_DLY_ONLOL_PLLB,Yes,0x1FA,0xA8,0x1FA
0x02A0[19:0],FASTLOCK_DLY_ONLOL_PLLC,Yes,0x1FA,0x119,0x1FA
0x02A3[19:0],FASTLOCK_DLY_ONLOL_PLLD,Yes,0x1FA,0x119,0x1FA
0x02A6[19:0],FASTLOCK_DLY_ONSW_PLLA,Yes,0x4CC,0x266,0x266
0x02A9[19:0],FASTLOCK_DLY_ONSW_PLLB,Yes,0x4CC,0x133,0x4CC
0x02AC[19:0],FASTLOCK_DLY_ONSW_PLLC,Yes,0x4CC,0x266,0x4CC
0x02AF[19:0],FASTLOCK_DLY_ONSW_PLLD,Yes,0x4CC,0x266,0x4CC
0x02B7[1:0],LOL_NOSIG_TIME_PLLA,No,0x3,0x3,0x3
0x02B7[3:2],LOL_NOSIG_TIME_PLLB,No,0x3,0x3,0x3
0x02B7[5:4],LOL_NOSIG_TIME_PLLC,No,0x3,0x3,0x3
0x02B7[7:6],LOL_NOSIG_TIME_PLLD,No,0x3,0x3,0x3
0x0302[43:0],N0_NUM,Yes,0x900000000,0xB86000000,0xB86000000
0x0308[31:0],N0_DEN,Yes,0xDC000000,0xA2000000,0xC96A3E00
0x030C[0],N0_UPDATE,No,0x0,0x0,0x0
0x030D[43:0],N1_NUM,Yes,0x8CA000000,0x938000000,0x938000000
0x0313[31:0],N1_DEN,No,0xE00E0000,0xE00E0000,0xE00E0000
0x0317[0],N1_UPDATE,No,0x0,0x0,0x0
0x0318[43:0],N2_NUM,Yes,0x61A800000,0x938000000,0x733C00000
0x031E[31:0],N2_DEN,Yes,0x90000000,0x94800000,0xA2000000
0x0322[0],N2_UPDATE,No,0x0,0x0,0x0
0x0323[43:0],N3_NUM,Yes,0x7D0000000,0xB86000000,0x938000000
0x0329[31:0],N3_DEN,Yes,0xB0000000,0xC96AC200,0xC6000000
0x032D[0],N3_UPDATE,No,0x0,0x0,0x0
0x0338[1],N_UPDATE,No,0x0,0x0,0x0
0x033B[43:0],N0_FSTEPW,No,0x0,0x0,0x0
0x0341[43:0],N1_FSTEPW,No,0x0,0x0,0x0
0x0347[43:0],N2_FSTEPW,No,0x0,0x0,0x0
0x034D[43:0],N3_FSTEPW,No,0x0,0x0,0x0
0x0408[5:0],BW0_PLLA,Yes,0x10,0xF,0x10
0x0409[5:0],BW1_PLLA,No,0x1E,0x1E,0x1E
0x040A[5:0],BW2_PLLA,Yes,0xD,0xC,0xE
0x040B[5:0],BW3_PLLA,Yes,0xC,0xB,0xD
0x040C[5:0],BW4_PLLA,No,0x7,0x7,0x7
0x040D[5:0],BW5_PLLA,Yes,0x7,0x3F,0x7
0x040E[5:0],FASTLOCK_BW0_PLLA,Yes,0x14,0x13,0x15
0x040F[5:0],FASTLOCK_BW1_PLLA,Yes,0x28,0x28,0x2A
0x0410[5:0],FASTLOCK_BW2_PLLA,Yes,0x9,0x8,0x9
0x0411[5:0],FASTLOCK_BW3_PLLA,Yes,0x8,0x7,0x8
0x0412[5:0],FASTLOCK_BW4_PLLA,No,0x7,0x7,0x7
0x0413[5:0],FASTLOCK_BW5_PLLA,Yes,0x7,0x3F,0x7
0x0415[55:0],M_NUM_PLLA,Yes,0x3EF148000000,0xC800000000,0x2F34E6880000
