# Si538x/4x Settings Export
# 
# Part: Si5347
# Project File: Si5347-Edited-Project1.slabtimeproj
# Design ID: <none>
# Export Mode: AllNonSpecialUserRegisters
# Setting Names: Customer
# Die Revision: B1
# Creator: CBProMultiProjectExport v2.23.5 [2018-05-02]
# Created On: 2018-05-02 10:36:41 GMT-05:00
Location,SettingName,DecimalValue,HexValue
0x009A[0],LOL_SLOW_EN_PLLA,1,0x1
0x009A[1],LOL_SLOW_EN_PLLB,1,0x1
0x009A[2],LOL_SLOW_EN_PLLC,1,0x1
0x009A[3],LOL_SLOW_EN_PLLD,1,0x1
0x009B[3:0],LOL_SLW_DETWIN_SEL_PLLA,6,0x6
0x009B[7:4],LOL_SLW_DETWIN_SEL_PLLB,6,0x6
0x009C[3:0],LOL_SLW_DETWIN_SEL_PLLC,6,0x6
0x009C[7:4],LOL_SLW_DETWIN_SEL_PLLD,6,0x6
0x009D[1:0],LOL_SLW_VALWIN_SEL_PLLA,1,0x1
0x009D[3:2],LOL_SLW_VALWIN_SEL_PLLB,2,0x2
0x009D[5:4],LOL_SLW_VALWIN_SEL_PLLC,2,0x2
0x009D[7:6],LOL_SLW_VALWIN_SEL_PLLD,2,0x2
0x009E[3:0],LOL_SLW_SET_THR_PLLA,4,0x4
0x009E[7:4],LOL_SLW_SET_THR_PLLB,4,0x4
0x009F[3:0],LOL_SLW_SET_THR_PLLC,4,0x4
0x009F[7:4],LOL_SLW_SET_THR_PLLD,4,0x4
0x00A0[3:0],LOL_SLW_CLR_THR_PLLA,2,0x2
0x00A0[7:4],LOL_SLW_CLR_THR_PLLB,2,0x2
0x00A1[3:0],LOL_SLW_CLR_THR_PLLC,2,0x2
0x00A1[7:4],LOL_SLW_CLR_THR_PLLD,2,0x2
0x00A2[0],LOL_TIMER_EN_PLLA,0,0x0
0x00A2[1],LOL_TIMER_EN_PLLB,0,0x0
0x00A2[2],LOL_TIMER_EN_PLLC,0,0x0
0x00A2[3],LOL_TIMER_EN_PLLD,0,0x0
0x00A4[28:0],LOL_CLR_DELAY_DIV256_PLLA,13194,0x0000338A
0x00A9[28:0],LOL_CLR_DELAY_DIV256_PLLB,25321,0x000062E9
0x00AE[28:0],LOL_CLR_DELAY_DIV256_PLLC,25397,0x00006335
0x00B3[28:0],LOL_CLR_DELAY_DIV256_PLLD,25444,0x00006364
0x00E5[4],FASTLOCK_EXTEND_EN_PLLA,1,0x1
0x00E5[5],FASTLOCK_EXTEND_EN_PLLB,1,0x1
0x00E5[6],FASTLOCK_EXTEND_EN_PLLC,1,0x1
0x00E5[7],FASTLOCK_EXTEND_EN_PLLD,1,0x1
0x00E6[28:0],FASTLOCK_EXTEND_PLLA,12293,0x00003005
0x00EA[28:0],FASTLOCK_EXTEND_PLLB,24586,0x0000600A
0x00EE[28:0],FASTLOCK_EXTEND_PLLC,24586,0x0000600A
0x00F2[28:0],FASTLOCK_EXTEND_PLLD,24586,0x0000600A
0x0102[0],OUTALL_DISABLE_LOW,1,0x1
0x0108[0],OUT0_PDN,0,0x0
0x0108[1],OUT0_OE,1,0x1
0x0108[2],OUT0_RDIV_FORCE2,0,0x0
0x0109[2:0],OUT0_FORMAT,1,0x1
0x0109[3],OUT0_SYNC_EN,1,0x1
0x0109[5:4],OUT0_DIS_STATE,0,0x0
0x0109[7:6],OUT0_CMOS_DRV,0,0x0
0x010A[3:0],OUT0_CM,11,0xB
0x010A[6:4],OUT0_AMPL,3,0x3
0x010B[2:0],OUT0_MUX_SEL,0,0x0
0x010B[5:4],OUT0_VDD_SEL,2,0x2
0x010B[3],OUT0_VDD_SEL_EN,1,0x1
0x010B[7:6],OUT0_INV,0,0x0
0x010C[2:0],OUT0_DIS_SRC,1,0x1
0x0112[0],OUT1_PDN,0,0x0
0x0112[1],OUT1_OE,1,0x1
0x0112[2],OUT1_RDIV_FORCE2,0,0x0
0x0113[2:0],OUT1_FORMAT,1,0x1
0x0113[3],OUT1_SYNC_EN,1,0x1
0x0113[5:4],OUT1_DIS_STATE,0,0x0
0x0113[7:6],OUT1_CMOS_DRV,0,0x0
0x0114[3:0],OUT1_CM,11,0xB
0x0114[6:4],OUT1_AMPL,3,0x3
0x0115[2:0],OUT1_MUX_SEL,0,0x0
0x0115[5:4],OUT1_VDD_SEL,2,0x2
0x0115[3],OUT1_VDD_SEL_EN,1,0x1
0x0115[7:6],OUT1_INV,0,0x0
0x0116[2:0],OUT1_DIS_SRC,1,0x1
0x0117[0],OUT2_PDN,0,0x0
0x0117[1],OUT2_OE,1,0x1
0x0117[2],OUT2_RDIV_FORCE2,0,0x0
0x0118[2:0],OUT2_FORMAT,1,0x1
0x0118[3],OUT2_SYNC_EN,1,0x1
0x0118[5:4],OUT2_DIS_STATE,0,0x0
0x0118[7:6],OUT2_CMOS_DRV,0,0x0
0x0119[3:0],OUT2_CM,11,0xB
0x0119[6:4],OUT2_AMPL,3,0x3
0x011A[2:0],OUT2_MUX_SEL,1,0x1
0x011A[5:4],OUT2_VDD_SEL,2,0x2
0x011A[3],OUT2_VDD_SEL_EN,1,0x1
0x011A[7:6],OUT2_INV,0,0x0
0x011B[2:0],OUT2_DIS_SRC,2,0x2
0x011C[0],OUT3_PDN,0,0x0
0x011C[1],OUT3_OE,1,0x1
0x011C[2],OUT3_RDIV_FORCE2,1,0x1
0x011D[2:0],OUT3_FORMAT,1,0x1
0x011D[3],OUT3_SYNC_EN,1,0x1
0x011D[5:4],OUT3_DIS_STATE,0,0x0
0x011D[7:6],OUT3_CMOS_DRV,0,0x0
0x011E[3:0],OUT3_CM,11,0xB
0x011E[6:4],OUT3_AMPL,3,0x3
0x011F[2:0],OUT3_MUX_SEL,1,0x1
0x011F[5:4],OUT3_VDD_SEL,2,0x2
0x011F[3],OUT3_VDD_SEL_EN,1,0x1
0x011F[7:6],OUT3_INV,0,0x0
0x0120[2:0],OUT3_DIS_SRC,2,0x2
0x0126[0],OUT4_PDN,0,0x0
0x0126[1],OUT4_OE,1,0x1
0x0126[2],OUT4_RDIV_FORCE2,0,0x0
0x0127[2:0],OUT4_FORMAT,1,0x1
0x0127[3],OUT4_SYNC_EN,1,0x1
0x0127[5:4],OUT4_DIS_STATE,0,0x0
0x0127[7:6],OUT4_CMOS_DRV,0,0x0
0x0128[3:0],OUT4_CM,11,0xB
0x0128[6:4],OUT4_AMPL,3,0x3
0x0129[2:0],OUT4_MUX_SEL,2,0x2
0x0129[5:4],OUT4_VDD_SEL,2,0x2
0x0129[3],OUT4_VDD_SEL_EN,1,0x1
0x0129[7:6],OUT4_INV,0,0x0
0x012A[2:0],OUT4_DIS_SRC,3,0x3
0x012B[0],OUT5_PDN,0,0x0
0x012B[1],OUT5_OE,1,0x1
0x012B[2],OUT5_RDIV_FORCE2,1,0x1
0x012C[2:0],OUT5_FORMAT,1,0x1
0x012C[3],OUT5_SYNC_EN,1,0x1
0x012C[5:4],OUT5_DIS_STATE,0,0x0
0x012C[7:6],OUT5_CMOS_DRV,0,0x0
0x012D[3:0],OUT5_CM,11,0xB
0x012D[6:4],OUT5_AMPL,3,0x3
0x012E[2:0],OUT5_MUX_SEL,2,0x2
0x012E[5:4],OUT5_VDD_SEL,2,0x2
0x012E[3],OUT5_VDD_SEL_EN,1,0x1
0x012E[7:6],OUT5_INV,0,0x0
0x012F[2:0],OUT5_DIS_SRC,3,0x3
0x0130[0],OUT6_PDN,0,0x0
0x0130[1],OUT6_OE,1,0x1
0x0130[2],OUT6_RDIV_FORCE2,0,0x0
0x0131[2:0],OUT6_FORMAT,1,0x1
0x0131[3],OUT6_SYNC_EN,1,0x1
0x0131[5:4],OUT6_DIS_STATE,0,0x0
0x0131[7:6],OUT6_CMOS_DRV,0,0x0
0x0132[3:0],OUT6_CM,11,0xB
0x0132[6:4],OUT6_AMPL,3,0x3
0x0133[2:0],OUT6_MUX_SEL,3,0x3
0x0133[5:4],OUT6_VDD_SEL,2,0x2
0x0133[3],OUT6_VDD_SEL_EN,1,0x1
0x0133[7:6],OUT6_INV,0,0x0
0x0134[2:0],OUT6_DIS_SRC,4,0x4
0x013A[0],OUT7_PDN,0,0x0
0x013A[1],OUT7_OE,1,0x1
0x013A[2],OUT7_RDIV_FORCE2,0,0x0
0x013B[2:0],OUT7_FORMAT,1,0x1
0x013B[3],OUT7_SYNC_EN,1,0x1
0x013B[5:4],OUT7_DIS_STATE,0,0x0
0x013B[7:6],OUT7_CMOS_DRV,0,0x0
0x013C[3:0],OUT7_CM,11,0xB
0x013C[6:4],OUT7_AMPL,3,0x3
0x013D[2:0],OUT7_MUX_SEL,3,0x3
0x013D[5:4],OUT7_VDD_SEL,2,0x2
0x013D[3],OUT7_VDD_SEL_EN,1,0x1
0x013D[7:6],OUT7_INV,0,0x0
0x013E[2:0],OUT7_DIS_SRC,4,0x4
0x013F[11:0],OUTX_ALWAYS_ON,0,0x000
0x0141[0],OUT_DIS_MSK_PLLA,0,0x0
0x0141[1],OUT_DIS_MSK_PLLB,0,0x0
0x0141[2],OUT_DIS_MSK_PLLC,0,0x0
0x0141[3],OUT_DIS_MSK_PLLD,0,0x0
0x0141[5],OUT_DIS_LOL_MSK,0,0x0
0x0141[6],OUT_DIS_LOSXAXB_MSK,1,0x1
0x0141[7],OUT_DIS_MSK_LOS_PFD,0,0x0
0x0142[0],OUT_DIS_MSK_LOL_PLLA,1,0x1
0x0142[1],OUT_DIS_MSK_LOL_PLLB,1,0x1
0x0142[2],OUT_DIS_MSK_LOL_PLLC,1,0x1
0x0142[3],OUT_DIS_MSK_LOL_PLLD,1,0x1
0x0142[4],OUT_DIS_MSK_HOLD_PLLA,1,0x1
0x0142[5],OUT_DIS_MSK_HOLD_PLLB,1,0x1
0x0142[6],OUT_DIS_MSK_HOLD_PLLC,1,0x1
0x0142[7],OUT_DIS_MSK_HOLD_PLLD,1,0x1
0x0206[1:0],PXAXB,0,0x0
0x0208[47:0],P0_NUM,625,0x000000000271
0x020E[31:0],P0_DEN,1,0x00000001
0x0212[47:0],P1_NUM,625,0x000000000271
0x0218[31:0],P1_DEN,1,0x00000001
0x021C[47:0],P2_NUM,486,0x0000000001E6
0x0222[31:0],P2_DEN,1,0x00000001
0x0226[47:0],P3_NUM,486,0x0000000001E6
0x022C[31:0],P3_DEN,1,0x00000001
0x0231[3:0],P0_FRACN_MODE,11,0xB
0x0231[4],P0_FRACN_EN,0,0x0
0x0232[3:0],P1_FRACN_MODE,11,0xB
0x0232[4],P1_FRACN_EN,0,0x0
0x0233[3:0],P2_FRACN_MODE,11,0xB
0x0233[4],P2_FRACN_EN,0,0x0
0x0234[3:0],P3_FRACN_MODE,11,0xB
0x0234[4],P3_FRACN_EN,0,0x0
0x0235[43:0],MXAXB_NUM,633507676160,0x09380000000
0x023B[31:0],MXAXB_DEN,2147483648,0x80000000
0x024A[23:0],R0_REG,2,0x000002
0x0250[23:0],R1_REG,5,0x000005
0x0253[23:0],R2_REG,3,0x000003
0x0256[23:0],R3_REG,0,0x000000
0x025C[23:0],R4_REG,3,0x000003
0x025F[23:0],R5_REG,0,0x000000
0x0262[23:0],R6_REG,3,0x000003
0x0268[23:0],R7_REG,21,0x000015
0x026B[7:0],DESIGN_ID0,0,0x00
0x026C[7:0],DESIGN_ID1,0,0x00
0x026D[7:0],DESIGN_ID2,0,0x00
0x026E[7:0],DESIGN_ID3,0,0x00
0x026F[7:0],DESIGN_ID4,0,0x00
0x0270[7:0],DESIGN_ID5,0,0x00
0x0271[7:0],DESIGN_ID6,0,0x00
0x0272[7:0],DESIGN_ID7,0,0x00
0x028A[4:0],OOF0_TRG_THR_EXT,0,0x00
0x028B[4:0],OOF1_TRG_THR_EXT,0,0x00
0x028C[4:0],OOF2_TRG_THR_EXT,0,0x00
0x028D[4:0],OOF3_TRG_THR_EXT,0,0x00
0x028E[4:0],OOF0_CLR_THR_EXT,0,0x00
0x028F[4:0],OOF1_CLR_THR_EXT,0,0x00
0x0290[4:0],OOF2_CLR_THR_EXT,0,0x00
0x0291[4:0],OOF3_CLR_THR_EXT,0,0x00
0x0294[3:0],FASTLOCK_EXTEND_SCL_PLLA,13,0xD
0x0294[7:4],FASTLOCK_EXTEND_SCL_PLLB,12,0xC
0x0295[3:0],FASTLOCK_EXTEND_SCL_PLLC,12,0xC
0x0295[7:4],FASTLOCK_EXTEND_SCL_PLLD,12,0xC
0x0296[0],LOL_SLW_VALWIN_SELX_PLLA,1,0x1
0x0296[1],LOL_SLW_VALWIN_SELX_PLLB,1,0x1
0x0296[2],LOL_SLW_VALWIN_SELX_PLLC,1,0x1
0x0296[3],LOL_SLW_VALWIN_SELX_PLLD,1,0x1
0x0297[0],FASTLOCK_DLY_ONSW_EN_PLLA,1,0x1
0x0297[1],FASTLOCK_DLY_ONSW_EN_PLLB,1,0x1
0x0297[2],FASTLOCK_DLY_ONSW_EN_PLLC,1,0x1
0x0297[3],FASTLOCK_DLY_ONSW_EN_PLLD,1,0x1
0x0299[0],FASTLOCK_DLY_ONLOL_EN_PLLA,1,0x1
0x0299[1],FASTLOCK_DLY_ONLOL_EN_PLLB,1,0x1
0x0299[2],FASTLOCK_DLY_ONLOL_EN_PLLC,1,0x1
0x0299[3],FASTLOCK_DLY_ONLOL_EN_PLLD,1,0x1
0x029A[19:0],FASTLOCK_DLY_ONLOL_PLLA,281,0x00119
0x029D[19:0],FASTLOCK_DLY_ONLOL_PLLB,506,0x001FA
0x02A0[19:0],FASTLOCK_DLY_ONLOL_PLLC,506,0x001FA
0x02A3[19:0],FASTLOCK_DLY_ONLOL_PLLD,506,0x001FA
0x02A6[19:0],FASTLOCK_DLY_ONSW_PLLA,614,0x00266
0x02A9[19:0],FASTLOCK_DLY_ONSW_PLLB,1228,0x004CC
0x02AC[19:0],FASTLOCK_DLY_ONSW_PLLC,1228,0x004CC
0x02AF[19:0],FASTLOCK_DLY_ONSW_PLLD,1228,0x004CC
0x02B7[1:0],LOL_NOSIG_TIME_PLLA,3,0x3
0x02B7[3:2],LOL_NOSIG_TIME_PLLB,3,0x3
0x02B7[5:4],LOL_NOSIG_TIME_PLLC,3,0x3
0x02B7[7:6],LOL_NOSIG_TIME_PLLD,3,0x3
0x0302[43:0],N0_NUM,49492787200,0x00B86000000
0x0308[31:0],N0_DEN,3379216896,0xC96AC200
0x030C[0],N0_UPDATE,0,0x0
0x030D[43:0],N1_NUM,39594229760,0x00938000000
0x0313[31:0],N1_DEN,3759013888,0xE00E0000
0x0317[0],N1_UPDATE,0,0x0
0x0318[43:0],N2_NUM,30932992000,0x00733C00000
0x031E[31:0],N2_DEN,2717908992,0xA2000000
0x0322[0],N2_UPDATE,0,0x0
0x0323[43:0],N3_NUM,39594229760,0x00938000000
0x0329[31:0],N3_DEN,3321888768,0xC6000000
0x032D[0],N3_UPDATE,0,0x0
0x0338[1],N_UPDATE,0,0x0
0x033B[43:0],N0_FSTEPW,0,0x00000000000
0x0341[43:0],N1_FSTEPW,0,0x00000000000
0x0347[43:0],N2_FSTEPW,0,0x00000000000
0x034D[43:0],N3_FSTEPW,0,0x00000000000
0x0408[5:0],BW0_PLLA,16,0x10
0x0409[5:0],BW1_PLLA,30,0x1E
0x040A[5:0],BW2_PLLA,14,0x0E
0x040B[5:0],BW3_PLLA,13,0x0D
0x040C[5:0],BW4_PLLA,7,0x07
0x040D[5:0],BW5_PLLA,7,0x07
0x040E[5:0],FASTLOCK_BW0_PLLA,21,0x15
0x040F[5:0],FASTLOCK_BW1_PLLA,42,0x2A
0x0410[5:0],FASTLOCK_BW2_PLLA,9,0x09
0x0411[5:0],FASTLOCK_BW3_PLLA,8,0x08
0x0412[5:0],FASTLOCK_BW4_PLLA,7,0x07
0x0413[5:0],FASTLOCK_BW5_PLLA,7,0x07
0x0415[55:0],M_NUM_PLLA,51904771522560,0x002F3505780000
0x041C[31:0],M_DEN_PLLA,2147483648,0x80000000
0x0421[3:0],M_FRAC_MODE_PLLA,11,0xB
0x0421[4],M_FRAC_EN_PLLA,1,0x1
0x0422[0],M_FSTEP_MSK_PLLA,1,0x1
0x0422[1],M_FSTEPW_DEN_PLLA,0,0x0
0x0423[55:0],M_FSTEPW_PLLA,0,0x00000000000000
0x042A[2:0],IN_SEL_PLLA,0,0x0
0x042B[0],FASTLOCK_AUTO_EN_PLLA,1,0x1
0x042B[1],FASTLOCK_MAN_PLLA,0,0x0
0x042C[0],HOLD_EN_PLLA,1,0x1
0x042C[3],HOLD_RAMP_BYP_PLLA,0,0x0
0x042C[4],HOLDEXIT_BW_SEL1_PLLA,0,0x0
0x042C[7:5],RAMP_STEP_INTERVAL_PLLA,4,0x4
0x042D[1],HOLD_RAMPBYP_NOHIST_PLLA,1,0x1
0x042E[4:0],HOLD_HIST_LEN_PLLA,25,0x19
0x042F[4:0],HOLD_HIST_DELAY_PLLA,25,0x19
0x0431[4:0],HOLD_REF_COUNT_FRC_PLLA,0,0x00
0x0432[23:0],HOLD_15M_CYC_COUNT_PLLA,41667,0x00A2C3
0x0435[0],FORCE_HOLD_PLLA,0,0x0
0x0436[1:0],CLK_SWITCH_MODE_PLLA,2,0x2
0x0436[2],HSW_EN_PLLA,1,0x1
0x0437[3:0],IN_LOS_MSK_PLLA,0,0x0
0x0437[7:4],IN_OOF_MSK_PLLA,0,0x0
0x0438[2:0],IN0_PRIORITY_PLLA,1,0x1
0x0438[6:4],IN1_PRIORITY_PLLA,2,0x2
0x0439[2:0],IN2_PRIORITY_PLLA,3,0x3
0x0439[6:4],IN3_PRIORITY_PLLA,4,0x4
0x043A[1:0],HSW_MODE_PLLA,2,0x2
0x043A[3:2],HSW_PHMEAS_CTRL_PLLA,0,0x0
0x043B[9:0],HSW_PHMEAS_THR_PLLA,3,0x003
0x043D[4:0],HSW_COARSE_PM_LEN_PLLA,12,0x0C
0x043E[4:0],HSW_COARSE_PM_DLY_PLLA,6,0x06
0x0442[17:0],FINE_ADJ_OVR_PLLA,0,0x00000
0x0445[1],FORCE_FINE_ADJ_PLLA,0,0x0
0x0489[12:0],PFD_EN_DELAY_PLLA,705,0x02C1
0x049B[1],INIT_LP_CLOSE_HO_PLLA,1,0x1
0x049B[2],HO_SKIP_PHASE_PLLA,0,0x0
0x049B[4],HOLD_PRESERVE_HIST_PLLA,1,0x1
0x049B[5],HOLD_FRZ_WITH_INTONLY_PLLA,1,0x1
0x049B[6],HOLDEXIT_BW_SEL0_PLLA,1,0x1
0x049B[7],HOLDEXIT_STD_BO_PLLA,1,0x1
0x049D[5:0],BW0_HO_PLLA,16,0x10
0x049E[5:0],BW1_HO_PLLA,32,0x20
0x049F[5:0],BW2_HO_PLLA,14,0x0E
0x04A0[5:0],BW3_HO_PLLA,13,0x0D
0x04A1[5:0],BW4_HO_PLLA,7,0x07
0x04A2[5:0],BW5_HO_PLLA,7,0x07
0x04A6[2:0],RAMP_STEP_SIZE_PLLA,3,0x3
0x04A6[3],RAMP_SWITCH_EN_PLLA,1,0x1
0x0508[5:0],BW0_PLLB,16,0x10
0x0509[5:0],BW1_PLLB,30,0x1E
0x050A[5:0],BW2_PLLB,13,0x0D
0x050B[5:0],BW3_PLLB,12,0x0C
0x050C[5:0],BW4_PLLB,7,0x07
0x050D[5:0],BW5_PLLB,7,0x07
0x050E[5:0],FASTLOCK_BW0_PLLB,20,0x14
0x050F[5:0],FASTLOCK_BW1_PLLB,40,0x28
0x0510[5:0],FASTLOCK_BW2_PLLB,9,0x09
0x0511[5:0],FASTLOCK_BW3_PLLB,8,0x08
0x0512[5:0],FASTLOCK_BW4_PLLB,7,0x07
0x0513[5:0],FASTLOCK_BW5_PLLB,7,0x07
0x0515[55:0],M_NUM_PLLB,72173066649600,0x0041A41A000000
0x051C[31:0],M_DEN_PLLB,2147483648,0x80000000
0x0521[3:0],M_FRAC_MODE_PLLB,11,0xB
0x0521[4],M_FRAC_EN_PLLB,1,0x1
0x0522[0],M_FSTEP_MSK_PLLB,1,0x1
0x0522[1],M_FSTEPW_DEN_PLLB,0,0x0
0x0523[55:0],M_FSTEPW_PLLB,0,0x00000000000000
0x052A[0],IN_SEL_REGCTRL_PLLB,1,0x1
0x052A[3:1],IN_SEL_PLLB,0,0x0
0x052B[0],FASTLOCK_AUTO_EN_PLLB,1,0x1
0x052B[1],FASTLOCK_MAN_PLLB,0,0x0
0x052C[0],HOLD_EN_PLLB,1,0x1
0x052C[3],HOLD_RAMP_BYP_PLLB,0,0x0
0x052C[4],HOLDEXIT_BW_SEL1_PLLB,0,0x0
0x052C[7:5],RAMP_STEP_INTERVAL_PLLB,4,0x4
0x052D[1],HOLD_RAMPBYP_NOHIST_PLLB,1,0x1
0x052E[4:0],HOLD_HIST_LEN_PLLB,25,0x19
0x052F[4:0],HOLD_HIST_DELAY_PLLB,25,0x19
0x0531[4:0],HOLD_REF_COUNT_FRC_PLLB,0,0x00
0x0532[23:0],HOLD_15M_CYC_COUNT_PLLB,41667,0x00A2C3
0x0535[0],FORCE_HOLD_PLLB,0,0x0
0x0536[1:0],CLK_SWITCH_MODE_PLLB,2,0x2
0x0536[2],HSW_EN_PLLB,1,0x1
0x0537[3:0],IN_LOS_MSK_PLLB,0,0x0
0x0537[7:4],IN_OOF_MSK_PLLB,0,0x0
0x0538[2:0],IN0_PRIORITY_PLLB,1,0x1
0x0538[6:4],IN1_PRIORITY_PLLB,2,0x2
0x0539[2:0],IN2_PRIORITY_PLLB,3,0x3
